2580,Economic and Financial Affairs,2004-05-11,2004-05-11,Bohuslav Sobotka,MF,MF,ČSSD,1,Vladimír Špidla
2581,General Affairs,2004-05-17,2004-05-17,Jan Kohout,MZV,Náměstek MZV,ČSSD,0,Vladimír Špidla
2582,External Relations,2004-05-17,2004-05-17,Jan Kohout,MZV,Náměstek MZV,ČSSD,1,Vladimír Špidla
2582,External Relations,2004-05-17,2004-05-17,Miroslav Kostelka,MO,MO,bezp.,1,Vladimír Špidla
2583,Competitiveness,2004-05-17,2004-05-17,Miroslav Somol,MPO,Náměstek MPO,-,0,Vladimír Špidla
2583,Competitiveness,2004-05-17,2004-05-17,Petr Kolař,MSMT,Náměstek MSMT,-,0,Vladimír Špidla
2584,Agriculture and Fisheries,2004-05-24,2004-05-24,Jaroslav Palas,MZE,MZE,ČSSD,1,Vladimír Špidla
2585,"Education, Youth, Culture and Sport",2004-05-27,2004-05-27,Pavel Dostál,MK,MK,ČSSD,1,Vladimír Špidla
2585,"Education, Youth, Culture and Sport",2004-05-27,2004-05-27,Petra Buzková,MSMT,MSMT,ČSSD,1,Vladimír Špidla
2586,"Employment, Social Policy, Health and Consumer Affairs",2004-06-01,2004-06-01,Zdeněk Škromach,MPSV,MPSV,ČSSD,1,Vladimír Špidla
2586,"Employment, Social Policy, Health and Consumer Affairs",2004-06-01,2004-06-01,Jozef Kubinyi,MZ,MZ,ČSSD,1,Vladimír Špidla
2587,Economic and Financial Affairs,2004-06-02,2004-06-02,Bohuslav Sobotka,MF,MF,ČSSD,1,Vladimír Špidla
2588,Justice and Home Affairs,2004-06-08,2004-06-08,Stanislav Gross,MV,MV,ČSSD,1,Vladimír Špidla
2588,Justice and Home Affairs,2004-06-08,2004-06-08,Jakub Camrda,MS,Náměstek MS,-,1,Vladimír Špidla
2589,"Transport, Telecommunications and Energy",2004-06-10,2004-06-10,Dana Berová,Ministerstsvo informatiky,Náměstek MI,-,1,Vladimír Špidla
2589,"Transport, Telecommunications and Energy",2004-06-10,2004-06-10,Martin Pecina,MPO,Náměstek MPO,-,1,Vladimír Špidla
2589,"Transport, Telecommunications and Energy",2004-06-10,2004-06-10,Milan Šimonovský,MD,MD,KDU-ČSL,1,Vladimír Špidla
2590,General Affairs,2004-06-14,2004-06-14,Cyril Svoboda,MZV,MZV,KDU-ČSL,1,Vladimír Špidla
2591,External Relations,2004-06-14,2004-06-14,Cyril Svoboda,MZV,MZV,KDU-ČSL,1,Vladimír Špidla
2592,Agriculture and Fisheries,2004-06-21,2004-06-21,Jaroslav Palas,MZE,MZE,ČSSD,1,Vladimír Špidla
2593,Environment,2004-06-28,2004-06-28,Tomáš Novotný,MŽP,Náměstek MŽP,-,0,Vladimír Špidla
2594,Economic and Financial Affairs,2004-07-05,2004-07-05,Bohuslav Sobotka,MF,MF,ČSSD,1,Vladimír Špidla
2595,Heads of State or Government,2004-06-29,2004-06-29,Vladimír Špidla,MF,Předseda vlády,ČSSD,1,Vladimír Špidla
2596,General Affairs,2004-07-12,2004-07-12,Vladimír Müller,MZV,Náměstek MZV,-,0,Vladimír Špidla
2597,External Relations,2004-07-12,2004-07-12,Vladimír Müller,MZV,Náměstek MZV,-,0,Vladimír Špidla
2598,Economic and Financial Affairs,2004-07-16,2004-07-16,Eduard Janota,MF,Náměstek MF,bezp.,0,Vladimír Špidla
2599,Agriculture and Fisheries,2004-07-19,2004-07-19,Jaroslav Palas,MZE,MZE,ČSSD,1,Vladimír Špidla
2600,Justice and Home Affairs,2004-07-19,2004-07-19,Miloslav Koudelný,MV,Náměstek MV,-,0,Vladimír Špidla
2600,Justice and Home Affairs,2004-07-19,2004-07-19,Jakub Camrda,MS,Náměstek MS,-,0,Vladimír Špidla
2601,External Relations,2004-07-26,2004-07-26,Miroslav Somol,MS,Náměstek MPO,-,0,Vladimír Špidla
