2580,Economic and Financial Affairs,2004-05-11,2004-05-11,Tibor Draskovics,MF,Minister for Finance,bezp.,1,Péter Medgyessy
2581,General Affairs,2004-05-17,2004-05-17,Lászlo Kovács,MFA,Minister for Foreign Affairs,MSZP,1,Péter Medgyessy
2582,External Relations,2004-05-17,2004-05-17,Lászlo Kovács,MFA,Minister for Foreign Affairs,MSZP,1,Péter Medgyessy
2582,External Relations,2004-05-17,2004-05-17,József Fehér,MD,"Administrative State Secretary, Ministry of Defence",?,1,Péter Medgyessy
2583,Competitiveness,2004-05-17,2004-05-18,Péter Gottfried,MFA,"Head of State Secretariat for Integration and External Economic Relations, Ministry of Foreign Affairs",bezp.,0,Péter Medgyessy
2584,Agriculture and Fisheries,2004-05-24,2004-05-24,Ferenc Nyujtó,MARD,"Deputy State Secretary, Ministry of Agriculture and Rural Development",?,0,Péter Medgyessy
2585,"Education, Youth, Culture and Sport",2004-05-27,2004-05-28,István Hiller,MCH,Minister for Cultural Heritage,MSZP,1,Péter Medgyessy
2585,"Education, Youth, Culture and Sport",2004-05-27,2004-05-28,Bálint Magyar,Med,Minister for Education,SZDSZ,1,Péter Medgyessy
2585,"Education, Youth, Culture and Sport",2004-05-27,2004-05-28,Attila Mesterházy,MChYS,"Political State Secretary, Ministry of Children, Youth and Sports",MSZP,1,Péter Medgyessy
2586,"Employment, Social Policy, Health and Consumer Affairs",2004-06-01,2004-06-02,Ferencné Jakab,MH,"Honorary State Secretary, Ministry of Health",bezp.,0,Péter Medgyessy
2586,"Employment, Social Policy, Health and Consumer Affairs",2004-06-01,2004-06-02,Gábor Csizmár,MLE,"State Secretary, Ministry of Labour and Employment",MSZP,0,Péter Medgyessy
2587,Economic and Financial Affairs,2004-06-02,2004-06-02,Elemér Terták,MF,"Administrative State Secretary, Ministry of Finance",?,0,Péter Medgyessy
2588,Justice and Home Affairs,2004-06-08,2004-06-08,Tibor Pál,MI,"Political State Secretary, Ministry of the Interior",MSZP,0,Péter Medgyessy
2589,"Transport, Telecommunications and Energy",2004-06-10,2004-06-11,György Csepeli,MIC,"Political State Secretary, Ministry of Informatics and Communications",MSZP,0,Péter Medgyessy
2589,"Transport, Telecommunications and Energy",2004-06-10,2004-06-11,Imre Réthy,MEAT,"Administrative State Secretary, Ministry of Economic Affairs and Transport",SZDSZ,0,Péter Medgyessy
2590,General Affairs,2004-06-14,2004-06-14,András Bársony,MFA,"Political State Secretary, Ministry of Foreign Affairs",MSZP,0,Péter Medgyessy
2591,External Relations,2004-06-14,2004-06-14,András Bársony,MFA,"Political State Secretary, Ministry of Foreign Affairs",MSZP,0,Péter Medgyessy
2592,Agriculture and Fisheries,2004-06-21,2004-06-21,Fülöp Bendek,MARD,"Administrative State Secretary, Ministry of Agriculture and Regional Development",MSZP,0,Péter Medgyessy
2593,Environment,2004-06-28,2004-06-28,István Őri,MEWM,"Administrative State Secretary, Ministry for the Environment and Water Management",?,0,Péter Medgyessy
2594,Economic and Financial Affairs,2004-07-05,2004-07-05,Tibor Draskovics,MF,Minister for Finance,bezp.,1,Péter Medgyessy
2595,Heads of State or Government,2004-06-29,2004-06-29,Péter Medgyessy,PM,Prime minister,bezp.,1,Péter Medgyessy
2596,General Affairs,2004-07-12,2004-07-13,Lászlo Kovács,MFA,Minister for Foreign Affairs,MSZP,1,Péter Medgyessy
2597,External Relations,2004-07-12,2004-07-13,Lászlo Kovács,MFA,Minister for Foreign Affairs,MSZP,1,Péter Medgyessy
2598,Economic and Financial Affairs,2004-07-16,2004-07-16,Álmos Kovács,MF,"State secretary (with special responsibility), Ministry of Finance",bezp.,0,Péter Medgyessy
2599,Agriculture and Fisheries,2004-07-19,2004-07-19,Imre Németh,MARD,Minister for Agriculture and Regional Development,bezp.,1,Péter Medgyessy
2600,Justice and Home Affairs,2004-07-19,2004-07-19,Tibor Pál,MI,"Political State Secretary, Ministry of the Interior",MSZP,0,Péter Medgyessy
2600,Justice and Home Affairs,2004-07-19,2004-07-19,Miklós Faragó,MJ,"Political State Secretary, Ministry of Justice",SZDSZ,0,Péter Medgyessy
2601,External Relations,2004-07-26,2004-07-26,András Bársony,MFA,"Political State Secretary, Ministry of Foreign Affairs",MSZP,0,Péter Medgyessy
2602,General Affairs,2004-07-26,2004-07-26,András Bársony,MFA,"Political State Secretary, Ministry of Foreign Affairs",MSZP,0,Péter Medgyessy
2603,General Affairs,2004-09-13,2004-09-13,Lászlo Kovács,MFA,Minister for Foreign Affairs,MSZP,1,Péter Medgyessy
2604,External Relations,2004-09-13,2004-09-13,Lászlo Kovács,MFA,Minister for Foreign Affairs,MSZP,1,Péter Medgyessy
2605,Competitiveness,2004-09-24,2004-09-24,Péter Gottfried,MFA,"Head of State Secretariat for Integration and External Economic Relations, Ministry of Foreign Affairs",bezp.,0,Péter Medgyessy
2606,"Employment, Social Policy, Health and Consumer Affairs",2004-10-04,2004-10-04,Egon Dienes-Oehm,PerRep,Deputy permanent representative,KDNP,0,Ferenc Gyurcsány 1
2607,"Transport, Telecommunications and Energy",2004-10-07,2004-10-07,Imre Réthy,MEAT,"Administrative State Secretary, Ministry of Economic Affairs and Transport",SZDSZ,0,Ferenc Gyurcsány 1
2608,General Affairs,2004-10-11,2004-10-11,Lászlo Kovács,MFA,Minister for Foreign Affairs,MSZP,1,Ferenc Gyurcsány 1
2609,External Relations,2004-10-11,2004-10-11,Lászlo Kovács,MFA,Minister for Foreign Affairs,MSZP,1,Ferenc Gyurcsány 1
2610,Environment,2004-10-14,2004-10-14,Miklós Persányi,MEWM,Minister for the Environment and Water Management,bezp.,1,Ferenc Gyurcsány 1
2611,Agriculture and Fisheries,2004-10-18,2004-10-18,Imre Németh,MARD,Minister for Agriculture and Regional Development,bezp.,1,Ferenc Gyurcsány 1
2612,Economic and Financial Affairs,2004-10-21,2004-10-21,Tamás Katona,MF,State secretary,MSZP,0,Ferenc Gyurcsány 1
